100 90 32
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
388,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
8,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
6,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
8,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
388,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
8,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
6,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
8,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
388,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
8,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
6,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
8,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
388,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
8,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
6,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
8,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
388,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
8,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
6,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
7,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
d,0
2,1
8,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
9,0
6,1
57c,0
